year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,hour_sin,hour_cos,month_sin,month_cos,O3_target,NO2_target
2024.0,5.0,5.0,0.0,7.93,69.81,20.71,11.12,-0.17,-1.87,-1.56,,,,0.0,1.0,0.49999999999999994,-0.8660254037844387,24.693483,25.547955
2024.0,5.0,5.0,1.0,13.16,66.96,19.11,10.73,-0.57,-0.63,-1.54,,,,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,25.668509,25.413578
2024.0,5.0,5.0,2.0,18.4,64.12,19.24,10.34,-0.97,0.61,-1.52,,,,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,25.668509,25.413578
2024.0,5.0,5.0,3.0,23.63,61.28,19.62,9.95,-1.37,1.85,-1.49,,,,0.7071067811865476,0.7071067811865476,0.49999999999999994,-0.8660254037844387,30.34349,25.413578
2024.0,5.0,5.0,4.0,26.54,55.63,19.74,9.69,-0.4,0.55,-1.42,,,,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,37.899723,24.730974
2024.0,5.0,5.0,5.0,29.45,49.99,19.25,9.43,0.58,-0.75,-1.35,,,,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,39.492878,23.019363
2024.0,5.0,5.0,6.0,32.36,44.34,19.37,9.17,1.55,-2.05,-1.27,,,,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,44.77132,21.344456
2024.0,5.0,5.0,7.0,32.45,45.76,19.38,8.73,1.23,-2.13,-0.87,,,,0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,46.414356,19.700602
2024.0,5.0,5.0,8.0,32.53,47.18,19.41,8.3,0.91,-2.2,-0.47,0.72,1.94,0.37,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,48.94741,19.700602
2024.0,5.0,5.0,9.0,32.62,48.6,20.65,7.86,0.58,-2.27,-0.07,,,,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387,49.887375,19.158974
2024.0,5.0,5.0,10.0,32.0,48.64,20.35,8.23,1.11,-2.21,-0.23,,,,0.49999999999999994,-0.8660254037844387,0.49999999999999994,-0.8660254037844387,49.887375,19.158974
2024.0,5.0,5.0,11.0,31.38,48.67,21.6,8.59,1.63,-2.16,-0.39,,,,0.258819045102521,-0.9659258262890682,0.49999999999999994,-0.8660254037844387,48.94741,19.158974
2024.0,5.0,5.0,12.0,30.75,48.71,21.48,8.95,2.15,-2.1,-0.55,,,,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,45.024536,20.076279
2024.0,5.0,5.0,13.0,31.79,48.42,18.99,8.46,2.06,-1.99,-0.6,,,,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,-0.8660254037844387,39.989628,23.709936
2024.0,5.0,5.0,14.0,32.83,48.13,19.46,7.96,1.98,-1.87,-0.64,,,,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,-0.8660254037844387,33.418774,29.193567
2024.0,5.0,5.0,15.0,33.86,47.84,17.89,7.46,1.89,-1.76,-0.68,,,,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,-0.8660254037844387,26.539137,31.975594
2024.0,5.0,5.0,16.0,33.74,49.18,17.96,7.31,1.62,-1.95,-0.35,,,,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,26.539137,31.182888
